Review,Topic,Sentiment
The Driver Behavior was slow and really frustrating.,Driver Behavior,Negative
The Ride Comfort was uncomfortable and really frustrating.,Ride Comfort,Negative
It was an Customer Support experience overall.,Customer Support,Neutral
"Disappointed with the App Experience, it was really bad.",App Experience,Negative
The Ride Comfort was fair but nothing special.,Ride Comfort,Neutral
Had a Ride Comfort time using the smooth service!,Ride Comfort,Positive
"The Payment Issues worked as expected, okay experience.",Payment Issues,Neutral
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
Had a App Experience experience with the uncomfortable.,App Experience,Negative
Had a Customer Support time using the fast service!,Customer Support,Positive
The Customer Support was standard but nothing special.,Customer Support,Neutral
The Miscellaneous was amazing and comfortable.,Miscellaneous,Positive
The Miscellaneous was okay but nothing special.,Miscellaneous,Neutral
The Driver Behavior was comfortable and smooth.,Driver Behavior,Positive
Had a Ride Comfort time using the smooth service!,Ride Comfort,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
Neither too good nor too bad - just App Experience.,App Experience,Neutral
The Payment Issues was comfortable and great.,Payment Issues,Positive
Really impressed with the Miscellaneous - it was amazing.,Miscellaneous,Positive
"Disappointed with the Pricing, it was really uncomfortable.",Pricing,Negative
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
Would not recommend due to the Driver Behavior being uncomfortable.,Driver Behavior,Negative
"An App Experience ride, nothing to complain about.",App Experience,Neutral
Had a Payment Issues time using the amazing service!,Payment Issues,Positive
The Miscellaneous was fair but nothing special.,Miscellaneous,Neutral
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
Had a Miscellaneous time using the amazing service!,Miscellaneous,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
The Ride Comfort was amazing and fast.,Ride Comfort,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
"The Pricing worked as expected, normal experience.",Pricing,Neutral
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
A very Driver Behavior bad ruined the experience.,Driver Behavior,Negative
The Payment Issues was slow and really frustrating.,Payment Issues,Negative
Would not recommend due to the App Experience being poor.,App Experience,Negative
"Disappointed with the Driver Behavior, it was really slow.",Driver Behavior,Negative
Had a Driver Behavior time using the great service!,Driver Behavior,Positive
"An App Experience ride, nothing to complain about.",App Experience,Neutral
It was an Pricing experience overall.,Pricing,Neutral
Everything about the Customer Support was comfortable.,Customer Support,Positive
A very Ride Comfort terrible ruined the experience.,Ride Comfort,Negative
The App Experience was terrible and really frustrating.,App Experience,Negative
The Customer Support was normal but nothing special.,Customer Support,Neutral
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
Had a Pricing experience with the frustrating.,Pricing,Negative
Would not recommend due to the Driver Behavior being terrible.,Driver Behavior,Negative
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
Had a Ride Comfort time using the excellent service!,Ride Comfort,Positive
A very Miscellaneous poor ruined the experience.,Miscellaneous,Negative
Everything about the Payment Issues was great.,Payment Issues,Positive
Would not recommend due to the Miscellaneous being slow.,Miscellaneous,Negative
Neither too good nor too bad - just Miscellaneous.,Miscellaneous,Neutral
Everything about the Payment Issues was smooth.,Payment Issues,Positive
Had a Miscellaneous time using the smooth service!,Miscellaneous,Positive
Had a Driver Behavior experience with the frustrating.,Driver Behavior,Negative
Really impressed with the Payment Issues - it was amazing.,Payment Issues,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
The Driver Behavior was fair but nothing special.,Driver Behavior,Neutral
A very Miscellaneous bad ruined the experience.,Miscellaneous,Negative
The Ride Comfort was average but nothing special.,Ride Comfort,Neutral
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
Had a Payment Issues experience with the uncomfortable.,Payment Issues,Negative
Really impressed with the Pricing - it was smooth.,Pricing,Positive
A very Pricing frustrating ruined the experience.,Pricing,Negative
"The Payment Issues worked as expected, average experience.",Payment Issues,Neutral
A very App Experience bad ruined the experience.,App Experience,Negative
Neither too good nor too bad - just App Experience.,App Experience,Neutral
"The Payment Issues worked as expected, okay experience.",Payment Issues,Neutral
I had a Payment Issues experience with the smooth.,Payment Issues,Positive
"The Pricing worked as expected, fair experience.",Pricing,Neutral
Had a App Experience time using the comfortable service!,App Experience,Positive
"The Payment Issues worked as expected, standard experience.",Payment Issues,Neutral
The Miscellaneous was poor and really frustrating.,Miscellaneous,Negative
Really impressed with the Customer Support - it was excellent.,Customer Support,Positive
It was an Payment Issues experience overall.,Payment Issues,Neutral
Everything about the Customer Support was amazing.,Customer Support,Positive
Had a Ride Comfort experience with the frustrating.,Ride Comfort,Negative
Really impressed with the Ride Comfort - it was amazing.,Ride Comfort,Positive
The Payment Issues was average but nothing special.,Payment Issues,Neutral
The Customer Support was amazing and smooth.,Customer Support,Positive
Neither too good nor too bad - just App Experience.,App Experience,Neutral
A very Miscellaneous terrible ruined the experience.,Miscellaneous,Negative
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
The Driver Behavior was excellent and amazing.,Driver Behavior,Positive
Everything about the App Experience was fast.,App Experience,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
I had a Payment Issues experience with the comfortable.,Payment Issues,Positive
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
Everything about the Ride Comfort was great.,Ride Comfort,Positive
Had a Payment Issues time using the excellent service!,Payment Issues,Positive
"Disappointed with the Driver Behavior, it was really poor.",Driver Behavior,Negative
I had a Pricing experience with the smooth.,Pricing,Positive
A very Payment Issues terrible ruined the experience.,Payment Issues,Negative
Really impressed with the Miscellaneous - it was comfortable.,Miscellaneous,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
"Disappointed with the Driver Behavior, it was really poor.",Driver Behavior,Negative
Would not recommend due to the App Experience being poor.,App Experience,Negative
Had a Driver Behavior experience with the poor.,Driver Behavior,Negative
The App Experience was frustrating and really frustrating.,App Experience,Negative
I had a Driver Behavior experience with the smooth.,Driver Behavior,Positive
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
Had a Miscellaneous time using the smooth service!,Miscellaneous,Positive
The Ride Comfort was amazing and excellent.,Ride Comfort,Positive
Would not recommend due to the Customer Support being poor.,Customer Support,Negative
Neither too good nor too bad - just App Experience.,App Experience,Neutral
The Ride Comfort was decent but nothing special.,Ride Comfort,Neutral
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
"The Customer Support worked as expected, average experience.",Customer Support,Neutral
Would not recommend due to the App Experience being poor.,App Experience,Negative
It was an Pricing experience overall.,Pricing,Neutral
Everything about the Pricing was amazing.,Pricing,Positive
The Ride Comfort was terrible and really frustrating.,Ride Comfort,Negative
It was an Pricing experience overall.,Pricing,Neutral
The Payment Issues was terrible and really frustrating.,Payment Issues,Negative
"The Customer Support worked as expected, okay experience.",Customer Support,Neutral
"The Driver Behavior worked as expected, decent experience.",Driver Behavior,Neutral
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
"Disappointed with the Driver Behavior, it was really terrible.",Driver Behavior,Negative
The Ride Comfort was okay but nothing special.,Ride Comfort,Neutral
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
Everything about the Payment Issues was amazing.,Payment Issues,Positive
"An Miscellaneous ride, nothing to complain about.",Miscellaneous,Neutral
The Pricing was excellent and amazing.,Pricing,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
The Payment Issues was excellent and fast.,Payment Issues,Positive
"An App Experience ride, nothing to complain about.",App Experience,Neutral
"Disappointed with the Miscellaneous, it was really bad.",Miscellaneous,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Would not recommend due to the Pricing being terrible.,Pricing,Negative
Had a Driver Behavior time using the fast service!,Driver Behavior,Positive
"Disappointed with the Customer Support, it was really poor.",Customer Support,Negative
Really impressed with the App Experience - it was smooth.,App Experience,Positive
Everything about the Pricing was excellent.,Pricing,Positive
Had a Pricing experience with the uncomfortable.,Pricing,Negative
The Driver Behavior was average but nothing special.,Driver Behavior,Neutral
The Miscellaneous was comfortable and excellent.,Miscellaneous,Positive
Had a Ride Comfort time using the amazing service!,Ride Comfort,Positive
Had a Ride Comfort experience with the bad.,Ride Comfort,Negative
Really impressed with the Payment Issues - it was excellent.,Payment Issues,Positive
The Ride Comfort was excellent and amazing.,Ride Comfort,Positive
Would not recommend due to the Miscellaneous being poor.,Miscellaneous,Negative
Would not recommend due to the Pricing being uncomfortable.,Pricing,Negative
The Pricing was okay but nothing special.,Pricing,Neutral
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
Had a Customer Support time using the comfortable service!,Customer Support,Positive
"Disappointed with the Driver Behavior, it was really poor.",Driver Behavior,Negative
The App Experience was excellent and great.,App Experience,Positive
"An Pricing ride, nothing to complain about.",Pricing,Neutral
I had a Pricing experience with the fast.,Pricing,Positive
Had a Driver Behavior experience with the terrible.,Driver Behavior,Negative
"The Driver Behavior worked as expected, normal experience.",Driver Behavior,Neutral
Really impressed with the Payment Issues - it was comfortable.,Payment Issues,Positive
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
"Disappointed with the Payment Issues, it was really uncomfortable.",Payment Issues,Negative
The Miscellaneous was bad and really frustrating.,Miscellaneous,Negative
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
The App Experience was fair but nothing special.,App Experience,Neutral
"An Miscellaneous ride, nothing to complain about.",Miscellaneous,Neutral
The Miscellaneous was amazing and fast.,Miscellaneous,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
Everything about the App Experience was great.,App Experience,Positive
I had a Driver Behavior experience with the comfortable.,Driver Behavior,Positive
Would not recommend due to the Customer Support being terrible.,Customer Support,Negative
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
Everything about the App Experience was great.,App Experience,Positive
Really impressed with the App Experience - it was great.,App Experience,Positive
It was an App Experience experience overall.,App Experience,Neutral
The Customer Support was amazing and excellent.,Customer Support,Positive
Everything about the Driver Behavior was amazing.,Driver Behavior,Positive
It was an Driver Behavior experience overall.,Driver Behavior,Neutral
I had a Ride Comfort experience with the smooth.,Ride Comfort,Positive
Had a Driver Behavior experience with the uncomfortable.,Driver Behavior,Negative
"Disappointed with the Driver Behavior, it was really bad.",Driver Behavior,Negative
The Miscellaneous was fast and smooth.,Miscellaneous,Positive
"An Pricing ride, nothing to complain about.",Pricing,Neutral
The Miscellaneous was slow and really frustrating.,Miscellaneous,Negative
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
Neither too good nor too bad - just App Experience.,App Experience,Neutral
Really impressed with the Miscellaneous - it was great.,Miscellaneous,Positive
It was an Payment Issues experience overall.,Payment Issues,Neutral
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
Had a Customer Support time using the great service!,Customer Support,Positive
The Payment Issues was excellent and fast.,Payment Issues,Positive
The Driver Behavior was smooth and comfortable.,Driver Behavior,Positive
Would not recommend due to the App Experience being poor.,App Experience,Negative
Everything about the App Experience was fast.,App Experience,Positive
The Payment Issues was poor and really frustrating.,Payment Issues,Negative
"The Customer Support worked as expected, standard experience.",Customer Support,Neutral
Would not recommend due to the Payment Issues being bad.,Payment Issues,Negative
A very App Experience bad ruined the experience.,App Experience,Negative
The Ride Comfort was great and amazing.,Ride Comfort,Positive
"An App Experience ride, nothing to complain about.",App Experience,Neutral
The Pricing was smooth and excellent.,Pricing,Positive
"Disappointed with the Pricing, it was really slow.",Pricing,Negative
"The Driver Behavior worked as expected, average experience.",Driver Behavior,Neutral
Everything about the Ride Comfort was amazing.,Ride Comfort,Positive
The Pricing was average but nothing special.,Pricing,Neutral
A very Pricing bad ruined the experience.,Pricing,Negative
"The Payment Issues worked as expected, standard experience.",Payment Issues,Neutral
Had a Driver Behavior time using the smooth service!,Driver Behavior,Positive
Really impressed with the Customer Support - it was amazing.,Customer Support,Positive
I had a Miscellaneous experience with the fast.,Miscellaneous,Positive
"The Payment Issues worked as expected, normal experience.",Payment Issues,Neutral
The App Experience was uncomfortable and really frustrating.,App Experience,Negative
Really impressed with the App Experience - it was comfortable.,App Experience,Positive
Had a App Experience experience with the slow.,App Experience,Negative
A very Payment Issues poor ruined the experience.,Payment Issues,Negative
Everything about the Ride Comfort was amazing.,Ride Comfort,Positive
Had a Customer Support experience with the bad.,Customer Support,Negative
"The Miscellaneous worked as expected, decent experience.",Miscellaneous,Neutral
The Payment Issues was bad and really frustrating.,Payment Issues,Negative
The App Experience was slow and really frustrating.,App Experience,Negative
"Disappointed with the Customer Support, it was really uncomfortable.",Customer Support,Negative
The Driver Behavior was poor and really frustrating.,Driver Behavior,Negative
The Customer Support was standard but nothing special.,Customer Support,Neutral
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
The Customer Support was normal but nothing special.,Customer Support,Neutral
I had a Customer Support experience with the excellent.,Customer Support,Positive
Had a App Experience experience with the uncomfortable.,App Experience,Negative
A very Payment Issues bad ruined the experience.,Payment Issues,Negative
The App Experience was comfortable and excellent.,App Experience,Positive
The Driver Behavior was terrible and really frustrating.,Driver Behavior,Negative
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
Had a Miscellaneous time using the amazing service!,Miscellaneous,Positive
Had a Payment Issues experience with the uncomfortable.,Payment Issues,Negative
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
The Customer Support was normal but nothing special.,Customer Support,Neutral
"Disappointed with the Miscellaneous, it was really frustrating.",Miscellaneous,Negative
A very App Experience terrible ruined the experience.,App Experience,Negative
A very Customer Support slow ruined the experience.,Customer Support,Negative
The Customer Support was fast and excellent.,Customer Support,Positive
Had a Driver Behavior experience with the bad.,Driver Behavior,Negative
Had a Miscellaneous time using the amazing service!,Miscellaneous,Positive
I had a Customer Support experience with the excellent.,Customer Support,Positive
"The Pricing worked as expected, okay experience.",Pricing,Neutral
Would not recommend due to the Payment Issues being poor.,Payment Issues,Negative
Everything about the Driver Behavior was amazing.,Driver Behavior,Positive
Had a Pricing time using the comfortable service!,Pricing,Positive
Really impressed with the Driver Behavior - it was excellent.,Driver Behavior,Positive
The Payment Issues was standard but nothing special.,Payment Issues,Neutral
Would not recommend due to the Pricing being terrible.,Pricing,Negative
Really impressed with the Pricing - it was comfortable.,Pricing,Positive
A very Payment Issues frustrating ruined the experience.,Payment Issues,Negative
I had a Ride Comfort experience with the excellent.,Ride Comfort,Positive
The App Experience was bad and really frustrating.,App Experience,Negative
"Disappointed with the Driver Behavior, it was really poor.",Driver Behavior,Negative
Would not recommend due to the Pricing being frustrating.,Pricing,Negative
Really impressed with the Pricing - it was great.,Pricing,Positive
"Disappointed with the App Experience, it was really uncomfortable.",App Experience,Negative
Had a Pricing time using the great service!,Pricing,Positive
The Miscellaneous was decent but nothing special.,Miscellaneous,Neutral
"Disappointed with the Pricing, it was really uncomfortable.",Pricing,Negative
"Disappointed with the Driver Behavior, it was really bad.",Driver Behavior,Negative
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
Had a Payment Issues experience with the slow.,Payment Issues,Negative
Had a Driver Behavior experience with the slow.,Driver Behavior,Negative
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
Had a Ride Comfort experience with the uncomfortable.,Ride Comfort,Negative
Had a Ride Comfort time using the amazing service!,Ride Comfort,Positive
Really impressed with the Miscellaneous - it was excellent.,Miscellaneous,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
The Pricing was okay but nothing special.,Pricing,Neutral
Had a Pricing experience with the terrible.,Pricing,Negative
Everything about the Customer Support was comfortable.,Customer Support,Positive
"Disappointed with the Pricing, it was really frustrating.",Pricing,Negative
Really impressed with the Pricing - it was amazing.,Pricing,Positive
The Pricing was frustrating and really frustrating.,Pricing,Negative
It was an Customer Support experience overall.,Customer Support,Neutral
Really impressed with the App Experience - it was amazing.,App Experience,Positive
"Disappointed with the Miscellaneous, it was really terrible.",Miscellaneous,Negative
The Driver Behavior was excellent and smooth.,Driver Behavior,Positive
Had a Ride Comfort time using the comfortable service!,Ride Comfort,Positive
Everything about the Payment Issues was comfortable.,Payment Issues,Positive
The Payment Issues was bad and really frustrating.,Payment Issues,Negative
Would not recommend due to the Miscellaneous being bad.,Miscellaneous,Negative
Everything about the Pricing was smooth.,Pricing,Positive
"The Pricing worked as expected, average experience.",Pricing,Neutral
The Customer Support was excellent and fast.,Customer Support,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
Would not recommend due to the Miscellaneous being poor.,Miscellaneous,Negative
It was an App Experience experience overall.,App Experience,Neutral
Would not recommend due to the App Experience being slow.,App Experience,Negative
"Disappointed with the Ride Comfort, it was really terrible.",Ride Comfort,Negative
I had a Payment Issues experience with the excellent.,Payment Issues,Positive
"An App Experience ride, nothing to complain about.",App Experience,Neutral
Had a Pricing experience with the bad.,Pricing,Negative
Had a Customer Support time using the comfortable service!,Customer Support,Positive
Would not recommend due to the Customer Support being bad.,Customer Support,Negative
The App Experience was standard but nothing special.,App Experience,Neutral
Everything about the Miscellaneous was excellent.,Miscellaneous,Positive
"The Payment Issues worked as expected, decent experience.",Payment Issues,Neutral
Had a Driver Behavior time using the comfortable service!,Driver Behavior,Positive
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
Everything about the Ride Comfort was amazing.,Ride Comfort,Positive
"Disappointed with the Ride Comfort, it was really terrible.",Ride Comfort,Negative
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
"Disappointed with the Ride Comfort, it was really slow.",Ride Comfort,Negative
Would not recommend due to the Driver Behavior being poor.,Driver Behavior,Negative
A very Pricing poor ruined the experience.,Pricing,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
The Ride Comfort was decent but nothing special.,Ride Comfort,Neutral
"Disappointed with the Payment Issues, it was really bad.",Payment Issues,Negative
The Customer Support was normal but nothing special.,Customer Support,Neutral
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
"Disappointed with the Payment Issues, it was really poor.",Payment Issues,Negative
The Pricing was okay but nothing special.,Pricing,Neutral
Would not recommend due to the Ride Comfort being slow.,Ride Comfort,Negative
Had a Miscellaneous experience with the terrible.,Miscellaneous,Negative
Really impressed with the App Experience - it was smooth.,App Experience,Positive
Neither too good nor too bad - just Miscellaneous.,Miscellaneous,Neutral
Would not recommend due to the Payment Issues being frustrating.,Payment Issues,Negative
"The Ride Comfort worked as expected, standard experience.",Ride Comfort,Neutral
Had a Driver Behavior experience with the uncomfortable.,Driver Behavior,Negative
The App Experience was amazing and comfortable.,App Experience,Positive
Really impressed with the Customer Support - it was comfortable.,Customer Support,Positive
The App Experience was okay but nothing special.,App Experience,Neutral
The Pricing was average but nothing special.,Pricing,Neutral
"The Miscellaneous worked as expected, okay experience.",Miscellaneous,Neutral
Neither too good nor too bad - just Miscellaneous.,Miscellaneous,Neutral
I had a Payment Issues experience with the amazing.,Payment Issues,Positive
Everything about the Miscellaneous was excellent.,Miscellaneous,Positive
Everything about the Customer Support was comfortable.,Customer Support,Positive
A very Ride Comfort terrible ruined the experience.,Ride Comfort,Negative
The Pricing was poor and really frustrating.,Pricing,Negative
"Disappointed with the Pricing, it was really terrible.",Pricing,Negative
The Pricing was normal but nothing special.,Pricing,Neutral
Had a Customer Support time using the great service!,Customer Support,Positive
